,0_ECDF_0,0_ECDF_1,0_ECDF_2,0_ECDF_3,0_ECDF_4,0_ECDF_5,0_ECDF_6,0_ECDF_7,0_ECDF_8,0_ECDF_9,0_ECDF Percentile_0,0_ECDF Percentile_1,0_ECDF Percentile Count_0,0_ECDF Percentile Count_1,0_Histogram_0,0_Histogram_1,0_Histogram_2,0_Histogram_3,0_Histogram_4,0_Histogram_5,0_Histogram_6,0_Histogram_7,0_Histogram_8,0_Histogram_9,0_Interquartile range,0_Kurtosis,0_Max,0_Mean,0_Mean absolute deviation,0_Median,0_Median absolute deviation,0_Min,0_Root mean square,0_Skewness,0_Standard deviation,0_Variance,Class,Anomaly
50,0.025,0.05,0.075,0.1,0.125,0.15,0.175,0.2,0.225,0.25,0.404868874,0.58970951,8,32,0,0,0,0,0,0,7,26,5,2,0.140099759,1.095673708,0.872498369,0.541315899,0.080185804,0.555999398,0.034060315,0.372836674,0.552357886,0.599027316,0.109892367,0.012076332,0,0
51,0.025,0.05,0.075,0.1,0.125,0.15,0.175,0.2,0.225,0.25,0.424598578,0.58970951,8,32,0,0,0,0,0,0,6,27,5,2,0.081138883,1.229262489,0.872498369,0.547739724,0.075402824,0.560607184,0.02706133,0.372836674,0.55821524,0.51947651,0.107635724,0.011585449,0,0
52,0.025,0.05,0.075,0.1,0.125,0.15,0.175,0.2,0.225,0.25,0.429144793,0.589958906,8,32,0,0,0,0,0,0,5,27,6,2,0.042464888,1.425491974,0.872498369,0.554081602,0.070454356,0.568738898,0.021361093,0.372836674,0.563939732,0.461819639,0.104983806,0.011021599,0,0
53,0.025,0.05,0.075,0.1,0.125,0.15,0.175,0.2,0.225,0.25,0.446990151,0.604066709,8,32,0,0,0,0,0,0,5,26,7,2,0.039774475,1.517605686,0.872498369,0.55953129,0.067804122,0.572512005,0.020896855,0.372836674,0.569048952,0.375091559,0.103640944,0.010741445,0,0
54,0.025,0.05,0.075,0.1,0.125,0.15,0.175,0.2,0.225,0.25,0.539928946,0.604066709,8,32,0,0,0,0,0,0,5,25,8,2,0.041976057,1.82674396,0.872498369,0.564310227,0.06392379,0.573817753,0.024241853,0.372836674,0.573244959,0.357070652,0.100815425,0.01016375,0,0
55,0.025,0.05,0.075,0.1,0.125,0.15,0.175,0.2,0.225,0.25,0.539928946,0.604066709,8,32,0,0,0,0,0,0,4,26,8,2,0.041976057,2.323613013,0.872498369,0.568541001,0.059678978,0.576186064,0.024321045,0.375246522,0.57663068,0.474360041,0.096250045,0.009264071,0,0
56,0.025,0.05,0.075,0.1,0.125,0.15,0.175,0.2,0.225,0.25,0.539928946,0.604066709,8,32,0,0,0,0,0,0,3,27,8,2,0.041976057,2.941283779,0.872498369,0.572081921,0.055519767,0.573700478,0.024124578,0.381161809,0.579332873,0.673279647,0.091372061,0.008348854,0,0
57,0.025,0.05,0.075,0.1,0.125,0.15,0.175,0.2,0.225,0.25,0.545601189,0.604066709,8,32,0,0,0,0,0,0,2,28,8,2,0.038531454,3.697368579,0.872498369,0.575872056,0.051052941,0.573700478,0.020694952,0.381161809,0.582353367,0.888906084,0.086641902,0.007506819,0,0
58,0.025,0.05,0.075,0.1,0.125,0.15,0.175,0.2,0.225,0.25,0.547689017,0.607346573,8,32,0,0,0,0,0,0,1,28,9,2,0.045668131,4.251736363,0.872498369,0.583059188,0.048632105,0.577040698,0.022778301,0.381161809,0.58878734,1.115919266,0.081929939,0.006712515,0,0
59,0.025,0.05,0.075,0.1,0.125,0.15,0.175,0.2,0.225,0.25,0.551462782,0.628185555,8,32,0,0,0,0,0,0,0,27,10,3,0.052119333,3.962765832,0.915784443,0.599041503,0.059044827,0.580890058,0.025755835,0.424598578,0.606031744,1.750191326,0.091780999,0.008423752,0,0
60,0.025,0.05,0.075,0.1,0.125,0.15,0.175,0.2,0.225,0.25,0.554548268,0.628995135,8,32,0,0,0,0,0,0,0,26,11,3,0.057556581,4.53281345,0.915784443,0.604883726,0.056996653,0.581652023,0.025533977,0.446990151,0.611151877,2.036162796,0.087305753,0.007622295,0,0
61,0.025,0.05,0.075,0.1,0.125,0.15,0.175,0.2,0.225,0.25,0.554548268,0.628995135,8,32,0,0,0,0,0,0,0,26,11,3,0.055042793,5.182300464,0.915784443,0.607855269,0.055239162,0.581652023,0.025533977,0.531240734,0.613618072,2.349835845,0.083899406,0.00703911,0,0
62,0.025,0.05,0.075,0.1,0.125,0.15,0.175,0.2,0.225,0.25,0.554548268,0.628185555,8,32,0,0,0,0,0,0,0,27,10,3,0.04800951,5.621783312,0.915784443,0.604890071,0.053721174,0.580222446,0.023909076,0.531240734,0.610644824,2.463605025,0.083636737,0.006995104,0,0
63,0.025,0.05,0.075,0.1,0.125,0.15,0.175,0.2,0.225,0.25,0.552231819,0.607346573,8,32,0,0,0,0,0,0,0,28,10,2,0.0458846,9.260667612,0.915784443,0.596198484,0.043905437,0.579152317,0.022838947,0.531240734,0.600530519,2.930920476,0.072001888,0.005184272,0,0
64,0.025,0.05,0.075,0.1,0.125,0.15,0.175,0.2,0.225,0.25,0.552231819,0.601598224,8,32,0,0,0,0,0,0,0,30,9,1,0.039414091,18.38254224,0.915784443,0.588138746,0.032910169,0.579152317,0.02169923,0.531240734,0.591268767,3.946834134,0.060758297,0.003691571,0,0
65,0.025,0.05,0.075,0.1,0.125,0.15,0.175,0.2,0.225,0.25,0.554548268,0.601598224,8,32,0,0,0,0,0,0,0,30,9,1,0.037426313,18.50573719,0.915784443,0.589672566,0.032637561,0.580222446,0.019277901,0.531240734,0.592756259,3.953278388,0.060384164,0.003646247,0,0
66,0.025,0.05,0.075,0.1,0.125,0.15,0.175,0.2,0.225,0.25,0.556278619,0.602100635,8,32,0,0,0,0,0,0,0,29,10,1,0.03629343,18.73755381,0.915784443,0.591587929,0.032114437,0.581472462,0.019277901,0.531240734,0.594608998,3.976071202,0.059863024,0.003583582,0,0
