,0_Interquartile range,0_Kurtosis,0_Mean,0_Mean absolute deviation,0_Median,0_Median absolute deviation,0_Root mean square,0_Skewness,0_Standard deviation,0_Variance,Class
23,0.263138528,0.492004722,0.283383743,0.22000912,0.166847362,0.100578545,0.397657903,1.273642266,0.278972153,0.077825462,0
24,0.340588686,0.082735234,0.29945528,0.233991079,0.177904233,0.127985809,0.413841926,1.100933365,0.285642566,0.081591676,0
25,0.321328844,0.560228174,0.281127173,0.221904068,0.159540018,0.112536549,0.395979853,1.268188734,0.27886835,0.077767557,0
26,0.227180662,1.337088541,0.25927063,0.204031583,0.143535363,0.103986906,0.373122175,1.499262678,0.268326103,0.071998898,0
27,0.201521956,3.097564343,0.228442873,0.173876811,0.131579608,0.081803498,0.331252733,1.854029374,0.239879609,0.057542227,0
28,0.445142617,-0.152458832,0.304202459,0.239355233,0.181824478,0.147406152,0.412211715,0.90446272,0.27817146,0.077379361,0
29,0.441611286,-0.232867439,0.315599612,0.238848649,0.216622668,0.166846558,0.419282992,0.834588992,0.276034621,0.076195112,0
30,0.393697423,0.004302113,0.312009097,0.230873208,0.194257838,0.157365406,0.411888055,0.899655617,0.268890486,0.072302093,0
31,0.359819668,0.664917996,0.288676968,0.215573393,0.171272569,0.129838176,0.388165644,1.129224774,0.259496003,0.067338176,0
32,0.360123592,0.522055509,0.298293745,0.216253037,0.195184549,0.158282816,0.395112643,1.043544872,0.259103923,0.067134843,0
33,0.332203583,0.85995684,0.288981085,0.206938678,0.202662211,0.148469108,0.385240948,1.153691186,0.254755805,0.06490052,0
34,0.317842807,0.880691947,0.29175057,0.203134589,0.203830346,0.141870498,0.386205074,1.160372922,0.253053283,0.064035964,0
35,0.291268104,1.073411565,0.280828418,0.199917716,0.200181206,0.128591444,0.378283589,1.280726164,0.253444024,0.064233874,0
36,0.291796128,1.09241122,0.265292712,0.203888597,0.159985544,0.110973219,0.370441428,1.356716413,0.25854715,0.066846629,0
37,0.240087928,1.21949873,0.257905507,0.202837166,0.13798977,0.094562225,0.367724882,1.450153362,0.26211894,0.068706339,0
